Retailers,Retailers,module,NWT_Retailermap
"Add New Item","Add New Item",module,NWT_Retailermap
"Save and Continue Edit","Spara och fortsätt Redigera",module,NWT_Retailermap
"Edit Item '%1'","Edit Item '%1'",module,NWT_Retailermap
"New Item","New Item",module,NWT_Retailermap
"Item Information","Item Information",module,NWT_Retailermap
"Retailer Information","Retailer Information",module,NWT_Retailermap
"Retailer Name","Retailer Name",module,NWT_Retailermap
"Retailer Address","Retailer Address",module,NWT_Retailermap
"Map Coordinates","Map Coordinates",module,NWT_Retailermap
Country,Land,module,NWT_Retailermap
"Retailer Settings","Retailer Settings",module,NWT_Retailermap
Items,Produkter,module,NWT_Retailermap
"You deleted the item.","You deleted the item.",module,NWT_Retailermap
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again.",module,NWT_Retailermap
"We can't find a item to delete.","We can't find a item to delete.",module,NWT_Retailermap
"This item no longer exists.","This item no longer exists.",module,NWT_Retailermap
"NWT Items","NWT Items",module,NWT_Retailermap
NWT,NWT,module,NWT_Retailermap
"The wrong item is specified.","The wrong item is specified.",module,NWT_Retailermap
"You saved the item.","You saved the item.",module,NWT_Retailermap
"Something went wrong while saving the item data. Please review the error log.","Something went wrong while saving the item data. Please review the error log.",module,NWT_Retailermap
"Read Details","Läs detaljer",module,Magento_AdminNotification
"Mark as Read","Markera som Läst",module,Magento_AdminNotification
"Are you sure?","Är du Säker?",module,Magento_AdminNotification
Remove,"Ta Bort",module,Magento_AdminNotification
"Messages Inbox",Meddelandeinkorg,module,Magento_AdminNotification
"You have %1 new system messages","Du har %1 nya systemmeddelanden",module,Magento_AdminNotification
"You have %1 new system message","Du har %1 nytt systemmeddelande",module,Magento_AdminNotification
"Incoming Message","Inkommande Meddelande",module,Magento_AdminNotification
close,Stäng,module,Magento_AdminNotification
Notifications,Meddelanden,module,Magento_AdminNotification
"The message has been marked as Read.","Det här meddelandet har markerats som läst.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Vi lyckades inte markera notifikationen som läst pga ett fel.",module,Magento_AdminNotification
"Please select messages.","Please select messages.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Totalt har %1 uppgifter markerats som lästa.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Totalt %1 rad(er) har tagits bort.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Vi kunde inte ta bort meddelanden på grund av ett fel.",module,Magento_AdminNotification
